team,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Atlanta,"$104,524,853","$102,864,017","$100,699,364","$75,670,988","$61,659,318","$63,669,211","$73,254,205","$82,242,784","$82,626,169","$76,970,285","$78,503,744","$67,125,219","$60,335,733","$55,637,806","$54,541,750","$88,473,698","$78,036,108","$72,942,608","$57,438,766"
Boston,"$125,136,414","$118,595,224","$97,719,804","$81,457,742","$65,780,740","$76,497,042","$82,915,501","$89,109,142","$94,853,092","$97,612,009","$91,194,611","$90,114,621","$78,219,015","$73,727,568","$85,781,666","$82,559,536","$73,605,149","$67,266,443","$75,244,004"
Brooklyn,"$118,850,600","$98,217,011","$86,141,882","$84,748,476","$92,845,137","$110,711,341","$96,242,278","$72,877,925","$67,627,114","$69,356,712","$72,167,232","$74,787,105","$80,087,671","$86,089,992","$73,038,252","$87,376,007","$84,621,399","$106,449,363","$100,821,283"
Charlotte,"$121,427,859","$120,753,356","$107,744,952","$81,160,057","$70,617,066","$65,176,774","$63,824,181","$64,640,008","$76,929,899","$80,239,256","$72,398,015","$65,001,846","$52,116,690","$43,348,490","$31,777,676",,,"$70,782,634","$67,881,439"
Chicago,"$112,413,744","$93,064,585","$96,733,857","$91,945,320","$71,274,407","$79,142,487","$81,798,609","$77,641,710","$63,051,379","$81,429,260","$78,455,300","$76,296,431","$68,002,127","$74,063,420","$76,083,041","$76,117,676","$62,375,454","$60,297,359","$43,399,261"
Cleveland,"$123,255,073","$141,677,695","$134,372,749","$114,359,498","$87,321,557","$71,930,622","$59,815,711","$72,425,085","$62,417,771","$97,432,514","$105,139,724","$99,437,130","$78,232,989","$66,468,036","$65,322,231","$63,355,914","$69,490,191","$64,625,225","$72,761,885"
Dallas,"$86,958,881","$87,893,692","$107,014,092","$79,615,272","$89,676,480","$80,950,377","$76,610,420","$86,161,595","$98,742,234","$103,878,529","$109,455,171","$122,993,727","$109,950,959","$127,555,437","$122,087,058","$109,103,854","$102,168,739","$82,052,255","$76,407,679"
Denver,"$118,327,016","$110,631,756","$87,652,633","$76,650,126","$60,073,465","$70,989,597","$69,667,908","$65,366,930","$78,636,989","$87,545,401","$80,751,866","$100,332,892","$81,368,936","$73,189,740","$61,239,508","$54,044,766","$68,788,098","$77,097,971","$76,282,527"
Detroit,"$126,023,450","$123,212,525","$111,340,479","$81,578,219","$71,270,170","$67,326,234","$75,557,266","$79,176,893","$75,745,044","$70,313,671","$82,264,127","$79,700,653","$73,287,873","$77,241,130","$72,744,025","$73,309,768","$66,923,295","$60,049,365","$59,160,896"
Golden State,"$146,291,276","$141,561,666","$106,208,906","$98,910,056","$77,825,662","$78,242,718","$76,907,365","$68,742,521","$79,094,858","$76,349,612","$77,637,258","$75,164,562","$80,741,248","$73,996,097","$72,984,778","$73,219,061","$66,867,024","$67,500,702","$61,920,031"
Houston,"$125,211,437","$123,348,665","$95,096,326","$92,399,610","$81,249,194","$62,400,533","$52,761,621","$63,657,301","$83,604,008","$80,722,403","$84,415,439","$84,532,647","$79,282,220","$89,728,032","$80,078,966","$75,996,458","$70,289,709","$69,605,821","$72,035,096"
Indiana,"$110,064,339","$98,007,500","$94,388,510","$75,611,298","$79,075,717","$72,500,802","$72,592,076","$57,553,365","$75,248,856","$77,962,869","$80,231,127","$80,137,708","$78,389,763","$102,080,515","$87,757,491","$79,775,341","$74,899,587","$75,594,742","$80,516,820"
LA Clippers,"$116,189,706","$122,512,813","$119,980,420","$102,447,221","$90,140,850","$78,832,641","$75,936,355","$75,168,887","$61,533,714","$71,984,973","$72,279,725","$78,429,615","$73,499,106","$66,538,878","$60,417,931","$53,654,803","$60,168,882","$47,920,274","$43,273,969"
LA Lakers,"$107,020,840","$106,087,876","$99,096,251","$76,761,351","$81,986,308","$83,552,730","$109,954,583","$98,535,702","$105,699,923","$106,754,812","$90,108,437","$87,837,661","$95,753,265","$94,470,531","$86,421,591","$87,960,317","$88,456,930","$76,817,025","$86,191,064"
Memphis,"$125,953,117","$113,878,945","$115,094,449","$87,879,970","$79,461,828","$77,692,086","$69,239,499","$78,846,895","$81,205,900","$66,927,583","$64,441,813","$65,453,037","$76,951,009","$87,484,273","$89,014,183","$78,708,245","$85,456,580","$72,086,728","$71,474,599"
Miami,"$153,237,722","$137,461,454","$105,326,421","$90,563,027","$80,153,604","$87,241,315","$88,317,627","$84,251,943","$76,540,476","$86,695,451","$80,954,614","$90,426,833","$80,000,986","$78,683,332","$79,068,387","$64,951,114","$80,370,792","$75,527,589","$107,391,051"
Milwaukee,"$132,772,636","$123,982,062","$100,626,922","$77,974,830","$57,592,055","$58,707,401","$68,532,243","$67,196,897","$79,859,447","$78,012,340","$82,179,460","$75,676,421","$78,861,141","$81,650,278","$76,311,674","$73,017,578","$81,234,791","$79,594,917","$84,511,780"
Minnesota,"$122,000,117","$119,408,275","$87,329,697","$76,331,464","$73,351,141","$73,991,801","$70,640,264","$63,459,240","$61,806,313","$72,729,110","$76,518,718","$83,504,357","$82,987,053","$80,105,527","$93,148,799","$97,766,844","$83,368,995","$77,994,527","$69,411,707"
New Orleans,"$114,285,155","$124,283,687","$106,241,961","$88,392,620","$84,593,880","$72,690,989","$70,425,903","$73,056,292","$78,881,431","$81,970,723","$77,768,980","$75,722,948","$66,752,846","$53,478,171","$75,148,878","$68,313,022","$62,274,308",,
New York,"$120,057,373","$108,429,823","$107,263,403","$78,390,325","$86,027,889","$96,124,095","$87,822,589","$86,064,446","$77,477,735","$100,133,034","$111,295,544","$116,336,050","$145,742,363","$164,059,853","$136,246,125","$122,695,207","$130,900,336","$121,737,632","$108,173,633"
Oklahoma City,"$144,703,345","$138,397,859","$95,382,819","$101,062,944","$85,012,190","$77,325,728","$75,685,310","$66,425,846","$64,651,894","$68,435,992","$78,702,697","$73,608,119","$70,774,042","$63,811,353","$71,493,802","$71,807,223","$74,472,590","$64,493,227","$75,331,634"
Orlando,"$114,126,131","$102,220,286","$108,835,377","$66,735,452","$63,043,187","$61,456,229","$73,086,548","$98,190,772","$104,939,978","$96,033,366","$80,235,918","$70,348,179","$76,313,423","$98,184,730","$88,262,891","$69,394,246","$70,645,641","$65,098,095","$54,753,317"
Philadelphia,"$115,004,824","$103,691,823","$88,634,253","$68,196,420","$57,467,608","$55,837,326","$73,240,656","$74,430,945","$79,672,803","$75,801,781","$78,655,946","$89,544,699","$85,867,712","$109,874,062","$95,577,649","$82,868,401","$90,797,955","$82,212,629","$74,669,212"
Phoenix,"$108,618,877","$95,345,538","$93,840,156","$71,905,061","$61,340,442","$59,968,534","$59,512,721","$90,024,617","$76,278,274","$76,275,045","$87,672,343","$86,260,859","$81,770,509","$69,477,600","$59,242,886","$91,813,111","$77,354,706","$80,121,692","$78,792,374"
Portland,"$130,256,600","$122,116,898","$125,182,368","$65,136,921","$73,940,973","$66,109,927","$65,273,700","$90,337,356","$86,226,505","$66,528,950","$92,428,079","$88,580,906","$93,178,032","$77,757,662","$111,145,218","$113,795,272","$147,909,630","$119,330,728","$127,741,372"
Sacramento,"$99,844,036","$102,446,870","$99,947,806","$74,560,979","$77,580,278","$63,858,581","$59,760,531","$54,646,509","$52,334,794","$78,876,998","$79,696,428","$76,682,313","$79,852,326","$81,377,510","$82,102,563","$93,789,867","$98,633,721","$77,749,943","$67,625,260"
San Antonio,"$121,412,251","$117,925,601","$117,116,754","$92,746,782","$74,822,052","$68,112,379","$76,689,515","$82,312,948","$80,374,628","$92,689,052","$78,332,898","$84,719,392","$81,538,516","$82,359,939","$63,102,345","$63,736,698","$74,493,709","$64,901,053","$83,629,846"
Toronto,"$135,351,158","$120,287,047","$113,543,367","$75,596,467","$85,973,705","$77,226,706","$69,957,680","$61,470,663","$80,918,383","$79,235,325","$84,582,077","$79,874,205","$63,358,014","$80,859,160","$81,964,528","$86,465,335","$77,611,212","$74,545,077","$56,001,406"
Utah,"$113,076,156","$108,639,378","$83,786,023","$67,167,094","$64,331,269","$61,417,345","$72,098,344","$64,948,114","$87,696,183","$84,005,181","$75,823,452","$78,564,038","$77,452,597","$74,330,792","$57,804,382","$47,664,834","$71,344,996","$74,524,129","$78,774,122"
Washington,"$123,700,218","$126,847,189","$108,751,344","$89,813,699","$77,573,836","$69,820,601","$65,573,418","$61,831,581","$67,429,419","$85,798,517","$81,468,527","$78,950,946","$77,911,295","$70,681,221","$66,148,166","$62,665,145","$65,401,137","$77,544,775","$86,363,182"
