,team,year,salary,z_salary
0,Hawks,2001,57438766,-0.6894207095570861
1,Celtics,2001,75244004,0.08616143639414468
2,Nets,2001,100821283,1.2002875679523608
3,Hornets,2001,67881439,-0.23454609710837987
4,Bulls,2001,43399261,-1.3009704914804188
5,Cavaliers,2001,72761885,-0.021957712618428077
6,Mavericks,2001,76407679,0.13685020301943768
7,Nuggets,2001,76282527,0.131398680454556
8,Pistons,2001,59160896,-0.6144060829058168
9,Warriors,2001,61920031,-0.4942203350787364
10,Rockets,2001,72035096,-0.05361606912417931
11,Pacers,2001,80516820,0.3158411490992478
12,Clippers,2001,43273969,-1.3064281123350527
13,Lakers,2001,86191064,0.5630067493664779
14,Grizzlies,2001,71474599,-0.0780308770621146
15,Heat,2001,107391051,1.4864614884493363
16,Bucks,2001,84511780,0.48985846073469624
17,Timberwolves,2001,69411707,-0.16788882808897682
18,Pelicans,2001,0,-3.1914081244442443
19,Knicks,2001,108173633,1.5205501440990281
20,Thunder,2001,75331634,0.08997853018697724
21,Magic,2001,54753317,-0.8063967532506658
22,Sixers,2001,74669212,0.06112394951328413
23,Suns,2001,78792374,0.24072563931178997
24,Trailblazers,2001,127741372,2.372905445670037
25,Kings,2001,67625260,-0.2457050526116784
26,Spurs,2001,83629846,0.45144211020305197
27,Raptors,2001,56001406,-0.7520309792599938
28,Jazz,2001,78774122,0.23993059656493637
29,Wizards,2001,86363182,0.5705040739064158
30,Hawks,2002,72942608,-0.029027473788713024
31,Celtics,2002,67266443,-0.30082246145949865
32,Nets,2002,106449363,1.5753952415680523
33,Hornets,2002,70782634,-0.13245471853921226
34,Bulls,2002,60297359,-0.6345270137155852
35,Cavaliers,2002,64625225,-0.4272933821860556
36,Mavericks,2002,82052255,0.4071748554336068
37,Nuggets,2002,77097971,0.16994609998030863
38,Pistons,2002,60049365,-0.646401849308354
39,Warriors,2002,67500702,-0.2896053065641123
40,Rockets,2002,69605821,-0.18880471450053832
41,Pacers,2002,75594742,0.09796614387942583
42,Clippers,2002,47920274,-1.2271859066433393
43,Lakers,2002,76817025,0.1564934053165424
44,Grizzlies,2002,72086728,-0.0700100551702747
45,Heat,2002,75527589,0.09475061917091995
46,Bucks,2002,79594917,0.289508763730326
47,Timberwolves,2002,77994527,0.2128763930507477
48,Pelicans,2002,0,-3.52177922466892
49,Knicks,2002,121737632,2.3074519883967044
50,Thunder,2002,64493227,-0.43361391634645585
51,Magic,2002,65098095,-0.404650683141915
52,Sixers,2002,82212629,0.41485413349418376
53,Suns,2002,80121692,0.3147326260793377
54,Trailblazers,2002,119330728,2.1922008561613366
55,Kings,2002,77749943,0.20116484039777313
56,Spurs,2002,64901053,-0.414085755582661
57,Raptors,2002,74545077,0.04770444681222373
58,Jazz,2002,74524129,0.04670138199615027
59,Wizards,2002,77544775,0.19134066614800418
60,Hawks,2003,78036108,0.0029398470703002125
61,Celtics,2003,73605149,-0.1812582467255828
62,Nets,2003,84621399,0.2766950430202479
63,Hornets,2003,0,-3.2410762543762845
64,Bulls,2003,62375454,-0.6480845958091916
65,Cavaliers,2003,69490191,-0.3523199558612618
66,Mavericks,2003,102168739,1.0061503548812356
67,Nuggets,2003,68788098,-0.3815064575344736
68,Pistons,2003,66923295,-0.45902763475702163
69,Warriors,2003,66867024,-0.46136685995318977
70,Rockets,2003,70289709,-0.3190834281580046
71,Pacers,2003,74899587,-0.12744754521898904
72,Clippers,2003,60168882,-0.7398133516436215
73,Lakers,2003,88456930,0.43614077449621436
74,Grizzlies,2003,85456580,0.3114141068108493
75,Heat,2003,80370792,0.09999430918916598
76,Bucks,2003,81234791,0.13591135758468242
77,Timberwolves,2003,83368995,0.22463172456879324
78,Pelicans,2003,62274308,-0.6522893064361865
79,Knicks,2003,130900336,2.2005431260875388
80,Thunder,2003,74472590,-0.1451981119600852
81,Magic,2003,70645641,-0.30428708363733625
82,Sixers,2003,90797955,0.5334588364616957
83,Suns,2003,77354706,-0.025386515125491324
84,Trailblazers,2003,147909630,2.9076314858791212
85,Kings,2003,98633721,0.8591971609712638
86,Spurs,2003,74493709,-0.14432018022050572
87,Raptors,2003,77611212,-0.014723379617533169
88,Jazz,2003,71344996,-0.2752144025570961
89,Wizards,2003,65401137,-0.5223048174292498
