,final_four,season,seed,team_id,conference_code_a_sun,conference_code_a_ten,conference_code_aac,conference_code_acc,conference_code_aec,conference_code_big_east,conference_code_big_sky,conference_code_big_south,conference_code_big_ten,conference_code_big_twelve,conference_code_big_west,conference_code_caa,conference_code_cusa,conference_code_horizon,conference_code_ivy,conference_code_maac,conference_code_mac,conference_code_meac,conference_code_mid_cont,conference_code_mvc,conference_code_mwc,conference_code_nec,conference_code_ovc,conference_code_pac_ten,conference_code_pac_twelve,conference_code_patriot,conference_code_sec,conference_code_southern,conference_code_southland,conference_code_summit,conference_code_sun_belt,conference_code_swac,conference_code_wac,conference_code_wcc,points_for,points_against,fg_for,fg_against,3pm_for,3pm_against,fga_for,fga_against,3pa_for,3pa_against,ft_for,ft_against,fta_for,fta_against,off_rebounds_for,off_rebounds_against,def_rebounds_for,def_rebounds_against,assists_for,assists_against,steals_for,steals_against,blocks_for,blocks_against,turnovers_for,turnovers_against,fouls_for,fouls_against,games_total,efg%,win_%,margin_of_victory,ast_to_ratio,fg%_for,fg%_against,3p%_for,3p%_against,ft%_for,ft%_against
0,0,2003,1,1328,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07907407407407407,0.06685185185185186,0.028074074074074074,0.024000000000000004,7.466666666666667,4.433333333333334,0.06281481481481481,0.0592962962962963,18.966666666666665,11.066666666666666,13.166666666666666,12.533333333333333,18.6,18.633333333333333,12.133333333333333,10.4,24.966666666666665,22.4,14.166666666666666,10.466666666666667,6.933333333333334,5.166666666666667,3.7666666666666666,2.6666666666666665,11.8,13.7,18.6,17.533333333333335,30.0,0.5129716981132075,0.8,0.012222222222222218,1.2005649717514124,0.446933962264151,0.4047470331043099,0.3936731107205624,0.40060240963855426,0.023596176821983273,0.6726296958855098
1,0,2003,2,1448,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09323875517651399,0.08040510066013366,0.031079585058838,0.028127434499159457,6.103448275862069,7.482758620689655,0.06806347123703309,0.07105662388781828,17.724137931034484,19.103448275862068,20.03448275862069,12.827586206896552,26.620689655172413,18.655172413793103,14.758620689655173,12.448275862068966,26.93103448275862,19.344827586206897,14.586206896551724,12.517241379310345,6.413793103448276,7.379310344827586,4.379310344827586,3.2413793103448274,15.10344827586207,13.620689655172415,18.482758620689655,22.03448275862069,29.0,0.5099397590361445,0.8275862068965517,0.012833654516380327,0.9657534246575342,0.4566265060240964,0.3958453548759377,0.3443579766536965,0.3916967509025271,0.025951402537073433,0.6876155268022182
2,1,2003,3,1393,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09524785764073967,0.08311123867317234,0.03476977325843618,0.02997252859895855,5.241379310344827,6.931034482758621,0.07396777235639018,0.07683791873385543,15.862068965517242,19.24137931034483,16.379310344827587,12.551724137931034,23.620689655172413,18.896551724137932,14.310344827586206,15.793103448275861,26.896551724137932,22.275862068965516,14.96551724137931,15.89655172413793,8.310344827586206,6.620689655172414,7.275862068965517,3.1379310344827585,13.620689655172415,14.448275862068966,16.586206896551722,19.724137931034484,29.0,0.5121951219512195,0.8275862068965517,0.012136618967567334,1.0987341772151897,0.4700665188470066,0.3900747065101388,0.33043478260869563,0.3602150537634409,0.023911401963251953,0.6642335766423357
3,0,2003,4,1257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09092592592592591,0.07607407407407409,0.031074074074074073,0.025037037037037038,8.433333333333334,5.1,0.06759259259259259,0.06218518518518519,23.4,13.833333333333334,17.466666666666665,18.3,25.1,26.366666666666667,13.2,12.866666666666667,25.1,23.6,16.6,11.933333333333334,7.2,5.766666666666667,4.733333333333333,2.433333333333333,13.366666666666667,17.4,22.666666666666668,22.6,30.0,0.5290410958904109,0.8,0.014851851851851824,1.2418952618453867,0.45972602739726026,0.40262060750446693,0.3603988603988604,0.36867469879518067,0.023196104471004866,0.6940581542351454
4,0,2003,5,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.07796296296296297,0.06685185185185186,0.02925925925925926,0.024148148148148148,5.566666666666666,6.233333333333333,0.06199999999999999,0.06018518518518519,16.2,13.6,11.933333333333334,10.466666666666667,17.633333333333333,15.6,12.666666666666666,10.9,24.6,20.133333333333333,14.5,9.966666666666667,8.733333333333333,7.733333333333333,3.7333333333333334,3.0,15.633333333333333,16.1,15.9,17.166666666666668,30.0,0.5218040621266428,0.7,0.011111111111111113,0.9275053304904052,0.4719235364396655,0.4012307692307692,0.3436213991769547,0.45833333333333337,0.022558286074354127,0.670940170940171
5,0,2003,6,1329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08171716757554634,0.07396777235639018,0.029316495141252202,0.0258723194882939,4.862068965517241,5.103448275862069,0.06589036040838082,0.06638238550166059,12.96551724137931,10.344827586206897,14.551724137931034,13.586206896551724,22.344827586206897,20.689655172413794,12.379310344827585,14.10344827586207,24.06896551724138,22.413793103448278,12.241379310344827,11.0,8.793103448275861,6.724137931034483,5.586206896551724,3.586206896551724,14.655172413793103,16.75862068965517,20.137931034482758,19.03448275862069,29.0,0.48879900435594276,0.6896551724137931,0.007749395219156158,0.8352941176470589,0.44492843808338517,0.3897467572575663,0.375,0.49333333333333335,0.022456364410387397,0.6566666666666666
6,0,2003,7,1386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839722825864119,0.07048259461232523,0.028824470047972447,0.02394522120628152,8.03448275862069,5.482758620689655,0.06470129976628808,0.06486530813071466,21.862068965517242,13.137931034482758,14.10344827586207,13.517241379310345,20.655172413793103,20.689655172413794,11.172413793103448,13.482758620689655,24.137931034482758,21.93103448275862,14.0,11.379310344827585,7.206896551724138,6.206896551724138,5.551724137931035,2.6206896551724137,12.931034482758621,15.241379310344827,18.75862068965517,19.413793103448278,29.0,0.5193282636248415,0.7931034482758621,0.013489687974086673,1.0826666666666667,0.44550063371356147,0.36915297092288246,0.3675078864353312,0.41732283464566927,0.023544988774394107,0.6533333333333333
7,0,2003,8,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0885645167903563,0.08294723030874575,0.032514658247570626,0.030177539054491782,6.413793103448276,7.103448275862069,0.06982656115461888,0.06990856533683218,17.03448275862069,16.413793103448278,13.379310344827585,11.89655172413793,19.517241379310345,17.448275862068964,11.241379310344827,11.172413793103448,24.379310344827587,23.0,16.0,16.03448275862069,6.551724137931035,5.931034482758621,2.793103448275862,2.5172413793103448,14.172413793103448,14.931034482758621,17.103448275862068,19.103448275862068,29.0,0.5202583675866118,0.7241379310344828,0.005617286481610556,1.1289537712895377,0.46564885496183206,0.43167155425219944,0.3765182186234818,0.43277310924369744,0.02363835749969538,0.6818181818181819
8,0,2003,9,1301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08044444444444446,0.07555555555555556,0.027037037037037037,0.026037037037037036,7.966666666666667,5.733333333333333,0.05925925925925926,0.059037037037037034,22.5,10.933333333333334,15.766666666666667,15.4,20.466666666666665,21.2,9.733333333333333,10.533333333333333,22.033333333333335,21.433333333333334,14.666666666666666,12.566666666666666,7.766666666666667,7.433333333333334,3.066666666666667,2.8333333333333335,14.2,14.633333333333333,18.666666666666668,19.333333333333332,30.0,0.5309375,0.6,0.004888888888888901,1.0328638497652582,0.45625,0.4410288582183187,0.3540740740740741,0.524390243902439,0.025678610206297504,0.7264150943396227
9,0,2003,10,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.07788888888888888,0.07285185185185185,0.028555555555555556,0.026444444444444444,5.633333333333334,6.9,0.060777777777777785,0.06292592592592593,16.333333333333332,13.566666666666666,13.066666666666666,11.066666666666666,19.733333333333334,16.533333333333335,11.933333333333334,12.233333333333333,22.566666666666666,20.6,13.4,12.666666666666666,8.033333333333333,7.833333333333333,4.966666666666667,2.6666666666666665,15.9,15.8,16.366666666666667,19.133333333333333,30.0,0.5213284582571602,0.6333333333333333,0.005037037037037034,0.8427672955974843,0.469835466179159,0.42024720423778694,0.3448979591836735,0.5085995085995086,0.022072072072072072,0.6693548387096774
