date,home,visitor,goals_home,goals_visitor,extra_time
2018-10-03,San Jose Sharks,Anaheim Ducks,2.0,5.0,0
2018-10-03,Toronto Maple Leafs,Montreal Canadiens,3.0,2.0,1
2018-10-03,Vancouver Canucks,Calgary Flames,5.0,2.0,0
2018-10-03,Washington Capitals,Boston Bruins,7.0,0.0,0
2018-10-04,Buffalo Sabres,Boston Bruins,0.0,4.0,0
2018-10-04,Carolina Hurricanes,New York Islanders,1.0,2.0,1
2018-10-04,Colorado Avalanche,Minnesota Wild,4.0,1.0,0
2018-10-04,Dallas Stars,Arizona Coyotes,3.0,0.0,0
2018-10-04,Detroit Red Wings,Columbus Blue Jackets,2.0,3.0,1
2018-10-04,New York Rangers,Nashville Predators,2.0,3.0,0
2018-10-04,Ottawa Senators,Chicago Blackhawks,3.0,4.0,1
2018-10-04,Pittsburgh Penguins,Washington Capitals,7.0,6.0,1
2018-10-04,St. Louis Blues,Winnipeg Jets,1.0,5.0,0
2018-10-04,Vegas Golden Knights,Philadelphia Flyers,2.0,5.0,0
2018-10-05,Columbus Blue Jackets,Carolina Hurricanes,1.0,3.0,0
2018-10-05,Los Angeles Kings,San Jose Sharks,2.0,3.0,1
2018-10-06,Arizona Coyotes,Anaheim Ducks,0.0,1.0,0
2018-10-06,Buffalo Sabres,New York Rangers,3.0,1.0,0
2018-10-06,Calgary Flames,Vancouver Canucks,7.0,4.0,0
2018-10-06,Colorado Avalanche,Philadelphia Flyers,5.0,2.0,0
2018-10-06,Dallas Stars,Winnipeg Jets,5.0,1.0,0
2018-10-06,Minnesota Wild,Vegas Golden Knights,1.0,2.0,1
2018-10-06,New Jersey Devils,Edmonton Oilers,5.0,2.0,0
2018-10-06,New York Islanders,Nashville Predators,3.0,4.0,0
2018-10-06,Pittsburgh Penguins,Montreal Canadiens,1.0,5.0,0
2018-10-06,St. Louis Blues,Chicago Blackhawks,4.0,5.0,1
2018-10-06,Tampa Bay Lightning,Florida Panthers,2.0,1.0,1
2018-10-06,Toronto Maple Leafs,Ottawa Senators,3.0,5.0,0
